Provisioning Status
Subscription ID,Subscription Name,Order Id,Description,Billing Date(Anniversary Date),Offer Name,Service Name,Subs Status,Subs Extra Status,Provisioning Status
"""53982d63-dde4-4554-a292-bbcdf1563f4e""","""Pay-As-You-Go""","""e40c7bb7-451f-43c1-a304-119ef10bcf49""","""Pay-As-You-Go""",10,,"""Azure Service Component""",Enabled,None,Provisioned

Statement
Billing Period,Meter Category,Meter Sub-category,Meter Name,Meter Region,SKU,Unit,Consumed Quantity,Included Quantity,Within Commitment,Overage Quantity,Currency,Overage,Commitment Rate,Rate,Value
201809(8/10/2018 - 9/9/2018),"""Networking""",,"""Data Transfer In (GB)""","""Zone 1""",,"""GB""",0.02837213,0.00000000,0,0.02837213,GBP,0,0,0,£0.00 GBP
201809(8/10/2018 - 9/9/2018),"""Networking""",,"""Data Transfer Out (GB)""","""Zone 1""","""7TD-00001""","""GB""",0.08973330,5.00000000,0,0.0,GBP,0,0,0,£0.00 GBP
201809(8/10/2018 - 9/9/2018),"""Azure App Service""",,"""Free App Service""",,,"""Apps""",0.99456000,10.00000000,0,0.0,GBP,0,0,0,£0.00 GBP
201809(8/10/2018 - 9/9/2018),"""Azure App Service""",,"""Basic Small App Service Hours""",,"""7UD-00001""","""Hours""",740.00000000,0.00000000,0,740.00000000,GBP,0,0,0.0558918918918918918918918919,£41.36 GBP
201809(8/10/2018 - 9/9/2018),"""App Services""","""Key Vault""","""Operations (in 10,000s)""",,"""9YD-00001""","""10,000s""",0.00630000,0.00000000,0,0.00630000,GBP,0,0,0,£0.00 GBP
201809(8/10/2018 - 9/9/2018),"""Data Services""","""SQL Database""","""Basic Database Days""","""UK West""","""8YD-00001""","""Days""",30.95833566,0.00000000,0,30.95833566,GBP,0,0,0.1498788581840707388983713862,£4.64 GBP

Daily Usage
Usage Date,Meter Category,Meter Id,Meter Sub-category,Meter Name,Meter Region,Unit,Consumed Quantity,Resource Location,Consumed Service,Resource Group,Instance Id,Tags,Additional Info,Service Info 1,Service Info 2
8/9/2018,"""Azure App Service""","""c0f5cb45-6fb1-41c9-8545-72ad400d9da4""",,"""Free App Service""",,"""Apps""",0.001344,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/sites/ReadySetResource3""","""{}""","""{""HostNames"":""www.readysetresource.com,readysetresource.com"",""AppServicePlanUri"":""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""}""",,
8/9/2018,"""Azure App Service""","""ba302f7a-078b-4141-a636-a76315ba44ce""",,"""Basic Small App Service Hours""",,"""Hours""",1.0,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""","""{}""","""{}""",,
8/9/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.000001,"""centralus""","""Microsoft.Web""","""ReadySetResource""","""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/sites/ReadySetResource3""","""{}""","""{""HostNames"":""www.readysetresource.com,readysetresource.com"",""AppServicePlanUri"":""/subscriptions/135dbaf9-7f72-4c9a-96a1-9ace85d4946d/resourceGroups/ReadySetResource/providers/Microsoft.Web/serverfarms/ServicePlan09a16f6c-8ad4""}""",,
8/9/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.00011284835636615753,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource""","""{}""","""{}""",,
8/9/2018,"""Data Services""","""d72ca4ba-8925-4d30-bbd9-ebbe0c917841""","""SQL Database""","""Basic Database Days""","""UK West""","""Days""",0.166666666666666656,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
8/10/2018,"""Networking""","""9995d93a-7d35-4d3f-9c69-7a7fea447ef4""",,"""Data Transfer Out (GB)""","""Zone 1""","""GB""",0.00001795496791601181,"""ukwest""","""Microsoft.Sql""","""ReadySetResource""","""/subscriptions/135DBAF9-7F72-4C9A-96A1-9ACE85D4946D/resourceGroups/ReadySetResource/providers/Microsoft.Sql/servers/readysetresource/databases/RSRDB""","""{}""","""{}""",,
